10:59:50.684 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1175417 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWST2/DBROWST2/target/DBROWST2-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/db2/DBROWST2/DBROWST2)
10:59:50.695 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo 654 - No active profile set, falling back to 1 default profile: "default"
10:59:53.012 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 165 - CFDataSourceConfiguration initialization status...
10:59:53.014 [main] INFO  c.c.a.dao.CFDataSourceConfiguration.dataSourceStatus 172 - Databse Datasource initialized.
10:59:53.201 [main] INFO  o.s.boot.StartupInfoLogger.logStarted 56 - Started CFApplication in 3.562 seconds (process running for 4.954)
10:59:53.211 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo 107 - CFDataConnectIO version : 5.0.0.21
10:59:53.499 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 109 - HikariPool-1 - Starting...
10:59:53.925 [main] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast 554 - HikariPool-1 - Added connection com.ibm.db2.jcc.t4.b@3a37a501
10:59:53.930 [main] INFO  com.zaxxer.hikari.HikariDataSource.getConnection 122 - HikariPool-1 - Start completed.
10:59:54.126 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0010532478 ** B1YD5Q2  ** ATLN.VX   
10:59:54.126 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0010570759 ** 5962309  ** LISN.S    
10:59:54.126 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0010645932 ** 5980613  ** GIVN.VX   
10:59:54.127 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0011037469 ** 4356646  ** SYNN.VX   
10:59:54.127 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0011075394 ** 5983816  ** ZURN.VX   
10:59:54.127 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012005267 ** 7103065  ** NOVN.VX   
10:59:54.127 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012032048 ** 7110388  ** ROG.VX    
10:59:54.128 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012138530 ** 7171589  ** CSGN.VX   
10:59:54.128 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012138605 ** 7110720  ** ADEN.VX   
10:59:54.128 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012142631 ** 7113990  ** CLN.VX    
10:59:54.128 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012214059 ** 7110753  ** HOLN.VX   
10:59:54.129 [main] INFO  com.cloudframe.app.process.Dbrowst2.fetchRows 192 - CH0012221716 ** 7108899  ** ABBN.VX   
