12:06:44.824 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1261901 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort/cfsort10_189/MCSORT02/target/MCSORT02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sort/cfsort10_189/MCSORT02)
12:06:44.831 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
12:06:46.627 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 2.929 seconds (process running for 3.52)
12:06:46.652 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
12:06:46.821 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  214 -  
12:06:46.822 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  216 - >>>>>> PROCESSING >>>>>>SYS004  
12:06:46.822 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  218 -  
12:06:47.254 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  242 -  
12:06:47.255 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  244 - <<<<<< FINSISHED  <<<<<<
12:06:47.255 [main] INFO  com.cloudframe.app.process.Mcsort02.mainline  246 -  
