09:56:11.995 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 1554316 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/comput/comput1/COMPUT1/target/COMPUT1-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/comput/comput1/COMPUT1)
09:56:12.006 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
09:56:14.280 [main] INFO  o.s.boot.StartupInfoLogger.logStarted   56 - Started CFApplication in 4.112 seconds (process running for 5.537)
09:56:14.301 [main] INFO  c.c.app.utility.CFConfiguration.cfDataConnectIOInfo  107 - CFDataConnectIO version : 5.0.0.21
09:56:14.408 [main] INFO  com.cloudframe.app.process.Comput1.process   76 - ___________________________________
09:56:14.409 [main] INFO  com.cloudframe.app.process.Comput1.process   78 - 1 . WS-OOSU-SHARED-ALLOW = 1123
09:56:14.410 [main] INFO  com.cloudframe.app.process.Comput1.process   90 - *KB* LK-RLU3A-TOT-DATA-PROMO-ALLOW = 1
09:56:14.411 [main] INFO  com.cloudframe.app.process.Comput1.process   92 - *KB* LK-RLU3A-ACCT-PLAN-DATA-ALLOW = 1
09:56:14.412 [main] INFO  com.cloudframe.app.process.Comput1.process  108 - *MB* LK-RLU3A-TOT-DATA-PROMO-ALLOW = 1
09:56:14.413 [main] INFO  com.cloudframe.app.process.Comput1.process  110 - *MB* LK-RLU3A-ACCT-PLAN-DATA-ALLOW = 1
09:56:14.413 [main] INFO  com.cloudframe.app.process.Comput1.process  124 - *GB* LK-RLU3A-TOT-DATA-PROMO-ALLOW = 1
09:56:14.414 [main] INFO  com.cloudframe.app.process.Comput1.process  126 - *GB* LK-RLU3A-ACCT-PLAN-DATA-ALLOW = 1
09:56:14.414 [main] INFO  com.cloudframe.app.process.Comput1.process   76 - ___________________________________
09:56:14.414 [main] INFO  com.cloudframe.app.process.Comput1.process   78 - 2 . WS-OOSU-SHARED-ALLOW = 3110
