07:31:24.493 [main] INFO  o.s.boot.StartupInfoLogger.logStarting   50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 4123040 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CALLDRVR/CALLDRVR/target/CALLDRVR-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CALLDRVR/CALLDRVR)
07:31:24.498 [main] INFO  o.s.boot.SpringApplication.logStartupProfileInfo  654 - No active profile set, falling back to 1 default profile: "default"
07:31:25.605 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  121 -     LS-PARM1 = RELOCATE
07:31:25.605 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  123 -     LS-PARM2 = 6789
07:31:25.605 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  125 -     LS-PARM3 = 6789
07:31:25.605 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  127 -     LS-PARM4 = RENOVATE
07:31:25.605 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  129 -     LS-PARM5 = 7890
07:31:25.606 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  131 -     LS-PARM6 = 7890
07:31:25.606 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  384 - >>> AFTER  CALLING CALLPRM2 BY REFERENCE >>>
07:31:25.606 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  386 -     ETACOLER
07:31:25.606 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  389 -     9876
07:31:25.606 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  392 -     9876
07:31:25.607 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  395 -     ETAVONER
07:31:25.607 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  398 -     987
07:31:25.607 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  401 -     987
07:31:25.607 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  427 - >>> BEFORE CALLING CALLPRM2 BY MIX >>>
07:31:25.607 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  429 -     RELOCATE
07:31:25.607 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split0  432 -     6789
07:31:25.608 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  467 -     6789
07:31:25.608 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  470 -     RENOVATE
07:31:25.608 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  473 -     7890
07:31:25.608 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  476 -     7890
07:31:25.608 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  119 - >>> IN CALLPRM2 
07:31:25.608 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  121 -     LS-PARM1 = RELOCATE
07:31:25.608 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  123 -     LS-PARM2 = 6789
07:31:25.609 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  125 -     LS-PARM3 = 6789
07:31:25.609 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  127 -     LS-PARM4 = RENOVATE
07:31:25.609 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  129 -     LS-PARM5 = 7890
07:31:25.609 [main] INFO  com.cloudframe.app.process.Callprm2.mainline  131 -     LS-PARM6 = 7890
07:31:25.609 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  485 - >>> AFTER  CALLING CALLPRM2 BY MIX >>>
07:31:25.609 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  487 -     RELOCATE
07:31:25.610 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  490 -     6789
07:31:25.610 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  493 -     9876
07:31:25.610 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  496 -     ETAVONER
07:31:25.610 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  499 -     7890
07:31:25.610 [main] INFO  com.cloudframe.app.process.Calldrvr.callCallprm2Split1  502 -     987
