07:29:22.005 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 144 Sri Lanka Rupee               
07:29:22.005 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 152 Chilean Peso                  
07:29:22.005 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 156 Yuan Renminbi                 
07:29:22.006 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 157                               
07:29:22.006 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 158 CHINESE RENMINBI              
07:29:22.006 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 170 Colombian Peso                
07:29:22.007 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 174 DANISH KRONE                  
07:29:22.007 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 174 Comoro Franc                  
07:29:22.007 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 174 Comoro Franc                  
07:29:22.008 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 188 Costa Rican Colon             
07:29:22.008 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 191 Kuna                          
07:29:22.008 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 192 PESO                          
07:29:22.009 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 203                               
07:29:22.009 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 203 Czech Koruna                  
07:29:22.009 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 208                               
07:29:22.010 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 208 DANISH KRONE                  
07:29:22.010 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 208 Danish Krone                  
07:29:22.010 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 214 Dominican Peso                
07:29:22.011 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 222 El Salvador Colon             
07:29:22.011 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 230 Ethiopian Birr                
07:29:22.012 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 238 Kroon                         
07:29:22.012 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 238 Falkland Islands Pound        
07:29:22.012 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 242 Fiji Dollar                   
07:29:22.013 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 262 Djibouti Franc                
07:29:22.013 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 270 Dalasi                        
07:29:22.013 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 292 Cedi                          
07:29:22.014 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 292 Gibraltar Pound               
07:29:22.014 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 320 Quetzal                       
07:29:22.014 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 324 GUINEAN FRANC                 
07:29:22.014 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 328 Guyana Dollar                 
07:29:22.015 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 332 Gourde                        
07:29:22.015 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 340 Lempira                       
07:29:22.015 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 344                               
07:29:22.016 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 344 Hong Kong Dollar              
07:29:22.016 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 348 Forint                        
07:29:22.016 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 352 Iceland Krona                 
07:29:22.016 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 356 Indian Rupee                  
07:29:22.017 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 360 Rupiah                        
07:29:22.017 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 368 Iraqi Dinar                   
07:29:22.017 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 376 SHEQEL                        
07:29:22.018 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 388 Jamaican Dollar               
07:29:22.018 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 392                               
07:29:22.018 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 392                               
07:29:22.019 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 392                               
07:29:22.019 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 392 Yen                           
07:29:22.019 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 398 Tenge                         
07:29:22.020 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 400 Jordanian Dinar               
07:29:22.020 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 404 Kenyan Shilling               
07:29:22.020 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 410 Won                           
07:29:22.020 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 414 Kuwaiti Dinar                 
07:29:22.021 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 417 Som                           
07:29:22.021 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 418 Kip                           
07:29:22.021 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 422 Lebanese Pound                
07:29:22.022 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 426 Loti                          
07:29:22.022 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 428  LATVIAN LATS                 
07:29:22.022 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 428 Latvian Lats                  
07:29:22.022 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 430 Liberian Dollar               
07:29:22.023 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 434 Libyan Dinar                  
07:29:22.023 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 440 LITHUANIAN LITAS              
07:29:22.023 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 440 Lithuanian Litas              
07:29:22.024 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 446 Pataca                        
07:29:22.024 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 454 Kwacha                        
07:29:22.024 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 458 Malaysian Ringgit             
07:29:22.024 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 462 Rufiyaa                       
07:29:22.025 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 478 MAURITANIA                    
07:29:22.025 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 478 Ouguiya                       
07:29:22.025 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 480 Mauritius Rupee               
07:29:22.025 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 484                               
07:29:22.026 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 484 Mexican Peso                  
07:29:22.026 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 496 Tugrik                        
07:29:22.026 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 498 Moldovan Leu                  
07:29:22.027 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 504 Moroccan Dirham               
07:29:22.027 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 512 Rial Omani                    
07:29:22.027 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 516                               
07:29:22.028 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 516 Namibia Dollar                
07:29:22.028 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 524 Nepalese Rupee                
07:29:22.028 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 532 Netherlands Antillian         
07:29:22.028 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 533 Aruban Guilder                
07:29:22.029 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 548 Vatu                          
07:29:22.029 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 554                               
07:29:22.029 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 554 New Zealand Dollar            
07:29:22.030 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 558 Cordoba Oro                   
07:29:22.030 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 566 Naira                         
07:29:22.031 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 578                               
07:29:22.031 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 578                               
07:29:22.031 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 578                               
07:29:22.031 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 578 Norwegian Krone               
07:29:22.032 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 586 Pakistan Rupee                
07:29:22.032 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 590 Balboa                        
07:29:22.032 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 598 Kina                          
07:29:22.033 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 600 Guarani                       
07:29:22.033 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 604 Nuevo Sol                     
07:29:22.033 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 608 Philippine Peso               
07:29:22.033 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 634 Qatari Rial                   
07:29:22.034 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 643 RUSSIAN RUBLE                 
07:29:22.034 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 643 RUSSIAN RUBLE                 
07:29:22.034 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 646 Rwanda Franc                  
07:29:22.035 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 654 Rwanda Franc                  
07:29:22.035 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 654 St. Helena Pound              
07:29:22.035 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 678                               
07:29:22.035 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 678 Dobra                         
07:29:22.036 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 682 Saudi Riyal                   
07:29:22.036 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 690 Seychelles Rupee              
07:29:22.036 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 694 Leone                         
07:29:22.036 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 702                               
07:29:22.037 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 702 Singapore Dollar              
07:29:22.037 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 704 Dong                          
07:29:22.037 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 706 Somali Shilling               
07:29:22.037 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 710                               
07:29:22.038 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 710                               
07:29:22.038 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 710 Rand                          
07:29:22.038 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 728                               
07:29:22.039 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 748 Lilangeni                     
07:29:22.039 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 752                               
07:29:22.039 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 752                               
07:29:22.039 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 752                               
07:29:22.040 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 752 SWEDISH KRONA                 
07:29:22.040 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 752 Swedish Krona                 
07:29:22.040 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 756 SWISS FRANC                   
07:29:22.040 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 756  SWISS FRANC                  
07:29:22.041 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 756 Swiss Franc                   
07:29:22.041 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 764 Baht                          
07:29:22.041 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 776 Pa'anga                       
07:29:22.041 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 780 Trinidad Dollar               
07:29:22.042 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 784 UAE Dirham                    
07:29:22.042 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 788 Tunisian Dinar                
07:29:22.042 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 793                               
07:29:22.042 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 800 Uganda Shilling               
07:29:22.042 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 807 Denar                         
07:29:22.043 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 818 Egyptian Pound                
07:29:22.043 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 826 BRITISH POUNDS                
07:29:22.043 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 826 Pound Sterling                
07:29:22.043 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 834 Tanzanian Shilling            
07:29:22.044 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 840 U.S. Dollar                   
07:29:22.044 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 858 Peso Uruguayo                 
07:29:22.044 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 860 Uzbekistan Sum                
07:29:22.044 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 882 Tala                          
07:29:22.045 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 886 Yemeni Rial                   
07:29:22.045 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 894 Kwacha                        
07:29:22.045 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 901 New Taiwan Dollar             
07:29:22.045 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 925                               
07:29:22.046 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 925 LEONE                         
07:29:22.046 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 928 BOLIVAR SOBERANO              
07:29:22.046 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 929 OUGUIYA                       
07:29:22.046 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 929                               
07:29:22.046 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 930 DOBRA                         
07:29:22.047 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 930                               
07:29:22.048 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 932 ZIMBABWE                      
07:29:22.048 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 933                               
07:29:22.048 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 934 TURKMENISTANI MANAT           
07:29:22.048 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 936 GHANI CEDI                    
07:29:22.049 [main] INFO  com.cloudframe.app.process.Ms00d363.loadCurKeyTable 1747 -  CURRENCY 938                               
